,country,year,sex_code,sex_label,cancer_code,cancer_site,cases_per_100k
0,Estonia,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.1
1,Lithuania,2012,F,Female,CICDTUME,Malignant neoplasms,224.0
2,Mexico,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,33.4
3,Mexico,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,29.9
4,Netherlands,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,56.7
5,Japan,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",24.6
6,Iceland,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",30.0
7,India,2012,F,Female,CICDTUME,Malignant neoplasms,97.4
8,Spain,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.6
9,Spain,2000,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.2
10,Japan,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",42.1
11,Japan,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",41.7
12,Japan,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",49.3
13,Spain,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.8
14,China (People’s Republic of),2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.1
15,Mexico,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,27.3
16,United Kingdom,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",23.7
17,United Kingdom,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",24.9
18,United Kingdom,2000,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",21.8
19,United Kingdom,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",25.8
20,Italy,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",59.4
21,Costa Rica,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,45.4
22,Italy,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",38.5
23,Italy,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",45.4
24,Italy,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",58.0
25,Iceland,2008,_T,Total,CICDTUME,Malignant neoplasms,290.4
26,Iceland,2002,_T,Total,CICDTUME,Malignant neoplasms,286.5
27,Iceland,2012,_T,Total,CICDTUME,Malignant neoplasms,284.3
28,Türkiye,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",13.2
29,Türkiye,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",9.1
30,Türkiye,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",20.5
31,United States,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",34.1
32,United States,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",44.6
33,United States,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",28.5
34,New Zealand,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,89.4
