,country,year,sex_code,sex_label,life_expectancy
0,Australia,2020,F,Female,85.3
1,Australia,2019,F,Female,85.0
2,Australia,2018,F,Female,84.9
3,Australia,2019,_T,Total,82.9
4,Australia,2018,_T,Total,82.7
5,Australia,2017,_T,Total,82.5
6,Australia,2016,_T,Total,82.4
7,Australia,2015,_T,Total,82.4
8,Australia,2017,F,Female,84.6
9,Australia,2016,F,Female,84.6
10,Australia,2015,F,Female,84.5
11,Australia,2022,M,Male,81.2
12,Australia,2021,M,Male,81.3
13,Australia,2020,M,Male,81.2
14,Australia,2019,M,Male,80.9
15,Australia,2018,M,Male,80.7
16,Australia,2017,M,Male,80.5
17,Australia,2016,M,Male,80.4
18,Australia,2015,M,Male,80.4
19,Australia,2022,_T,Total,83.2
20,Australia,2021,_T,Total,83.3
21,Australia,2020,_T,Total,83.2
22,Australia,2022,F,Female,85.3
23,Austria,2018,M,Male,79.4
24,Austria,2017,M,Male,79.4
25,Austria,2016,M,Male,79.3
26,Austria,2019,F,Female,84.2
27,Austria,2018,F,Female,84.1
28,Austria,2017,F,Female,84.0
29,Austria,2016,F,Female,84.1
30,Austria,2015,F,Female,83.7
31,Austria,2015,M,Male,78.8
32,Austria,2023,_T,Total,81.6
33,Austria,2022,_T,Total,81.4
34,Austria,2021,_T,Total,81.3
35,Austria,2020,_T,Total,81.3
36,Austria,2019,_T,Total,82.0
37,Austria,2018,_T,Total,81.8
38,Austria,2017,_T,Total,81.7
39,Austria,2016,_T,Total,81.8
40,Austria,2015,_T,Total,81.3
41,Austria,2023,F,Female,84.0
42,Austria,2022,F,Female,83.6
43,Austria,2021,F,Female,83.7
44,Austria,2020,F,Female,83.6
45,Austria,2023,M,Male,79.2
46,Austria,2022,M,Male,79.1
47,Austria,2021,M,Male,78.8
48,Austria,2020,M,Male,78.9
49,Belgium,2018,F,Female,83.9
50,Belgium,2017,F,Female,83.9
51,Belgium,2016,F,Female,84.0
52,Belgium,2019,_T,Total,82.1
53,Belgium,2018,_T,Total,81.7
54,Belgium,2017,_T,Total,81.6
55,Belgium,2016,_T,Total,81.5
56,Belgium,2015,_T,Total,81.1
57,Belgium,2015,F,Female,83.4
58,Belgium,2023,M,Male,80.3
59,Belgium,2022,M,Male,79.7
60,Belgium,2021,M,Male,79.4
61,Belgium,2020,M,Male,78.5
62,Belgium,2019,M,Male,79.8
63,Belgium,2018,M,Male,79.4
64,Belgium,2017,M,Male,79.2
65,Belgium,2016,M,Male,79.0
66,Belgium,2015,M,Male,78.7
67,Belgium,2023,_T,Total,82.5
68,Belgium,2022,_T,Total,81.8
69,Belgium,2021,_T,Total,81.9
70,Belgium,2020,_T,Total,80.8
71,Belgium,2023,F,Female,84.6
72,Belgium,2022,F,Female,83.9
73,Belgium,2021,F,Female,84.3
74,Belgium,2020,F,Female,83.0
75,Canada,2020,_T,Total,81.7
76,Canada,2021,F,Female,84.0
77,Canada,2020,F,Female,84.0
78,Canada,2019,_T,Total,82.3
79,Canada,2018,_T,Total,81.9
80,Canada,2017,_T,Total,81.9
81,Canada,2016,_T,Total,82.0
82,Canada,2015,_T,Total,81.9
83,Canada,2019,F,Female,84.4
84,Canada,2018,F,Female,84.0
85,Canada,2017,F,Female,84.0
86,Canada,2016,F,Female,84.0
87,Canada,2015,F,Female,83.9
88,Canada,2021,M,Male,79.3
89,Canada,2020,M,Male,79.5
90,Canada,2019,M,Male,80.2
91,Canada,2018,M,Male,79.8
92,Canada,2017,M,Male,79.8
93,Canada,2016,M,Male,79.9
94,Canada,2015,M,Male,79.9
95,Chile,2018,F,Female,83.2
96,Chile,2017,F,Female,83.0
97,Chile,2016,F,Female,82.9
98,Chile,2019,M,Male,77.9
99,Chile,2018,M,Male,77.7
100,Chile,2017,M,Male,77.4
101,Chile,2016,M,Male,77.2
102,Chile,2015,M,Male,77.0
103,Chile,2015,F,Female,82.7
104,Chile,2023,_T,Total,81.4
105,Chile,2022,_T,Total,81.2
106,Chile,2021,_T,Total,81.0
107,Chile,2020,_T,Total,80.8
108,Chile,2019,_T,Total,80.6
109,Chile,2018,_T,Total,80.4
110,Chile,2017,_T,Total,80.2
111,Chile,2016,_T,Total,80.0
112,Chile,2015,_T,Total,79.8
113,Chile,2023,M,Male,78.7
114,Chile,2022,M,Male,78.5
115,Chile,2021,M,Male,78.3
116,Chile,2020,M,Male,78.1
117,Chile,2023,F,Female,84.1
118,Chile,2022,F,Female,84.0
119,Chile,2021,F,Female,83.8
120,Chile,2020,F,Female,83.6
121,Colombia,2020,_T,Total,76.7
122,Colombia,2019,_T,Total,76.6
123,Colombia,2018,_T,Total,76.5
124,Colombia,2019,M,Male,73.5
125,Colombia,2018,M,Male,73.3
126,Colombia,2017,M,Male,72.7
127,Colombia,2016,M,Male,72.5
128,Colombia,2015,M,Male,72.2
129,Colombia,2017,_T,Total,75.9
130,Colombia,2016,_T,Total,75.7
131,Colombia,2015,_T,Total,75.4
132,Colombia,2022,F,Female,80.1
133,Colombia,2021,F,Female,80.0
134,Colombia,2020,F,Female,80.0
135,Colombia,2019,F,Female,79.9
136,Colombia,2018,F,Female,79.8
137,Colombia,2017,F,Female,79.3
138,Colombia,2016,F,Female,79.1
139,Colombia,2015,F,Female,78.9
140,Colombia,2022,M,Male,73.8
141,Colombia,2021,M,Male,73.7
142,Colombia,2020,M,Male,73.6
143,Colombia,2022,_T,Total,76.9
144,Costa Rica,2018,F,Female,82.9
145,Costa Rica,2017,F,Female,82.7
146,Costa Rica,2016,F,Female,82.6
147,Costa Rica,2019,_T,Total,80.5
148,Costa Rica,2018,_T,Total,80.3
149,Costa Rica,2017,_T,Total,80.2
150,Costa Rica,2016,_T,Total,80.0
151,Costa Rica,2015,_T,Total,79.9
152,Costa Rica,2015,F,Female,82.4
153,Costa Rica,2023,M,Male,78.4
154,Costa Rica,2022,M,Male,78.3
155,Costa Rica,2021,M,Male,78.2
156,Costa Rica,2020,M,Male,78.1
157,Costa Rica,2019,M,Male,77.9
158,Costa Rica,2018,M,Male,77.8
159,Costa Rica,2017,M,Male,77.6
160,Costa Rica,2016,M,Male,77.5
161,Costa Rica,2015,M,Male,77.4
162,Costa Rica,2023,_T,Total,81.0
163,Costa Rica,2022,_T,Total,80.9
164,Costa Rica,2021,_T,Total,80.8
165,Costa Rica,2020,_T,Total,80.6
166,Costa Rica,2023,F,Female,83.6
167,Costa Rica,2022,F,Female,83.5
168,Costa Rica,2021,F,Female,83.3
169,Costa Rica,2020,F,Female,83.2
170,Czechia,2018,F,Female,82.0
171,Czechia,2017,F,Female,82.0
172,Czechia,2016,F,Female,82.1
173,Czechia,2019,M,Male,76.4
174,Czechia,2018,M,Male,76.2
175,Czechia,2017,M,Male,76.1
176,Czechia,2016,M,Male,76.1
177,Czechia,2015,M,Male,75.7
178,Czechia,2015,F,Female,81.6
179,Czechia,2023,_T,Total,80.0
180,Czechia,2022,_T,Total,79.0
181,Czechia,2021,_T,Total,77.2
182,Czechia,2020,_T,Total,78.2
183,Czechia,2019,_T,Total,79.3
184,Czechia,2018,_T,Total,79.1
185,Czechia,2017,_T,Total,79.1
186,Czechia,2016,_T,Total,79.1
187,Czechia,2015,_T,Total,78.7
188,Czechia,2023,M,Male,77.0
189,Czechia,2022,M,Male,76.1
190,Czechia,2021,M,Male,74.1
191,Czechia,2020,M,Male,75.2
192,Czechia,2023,F,Female,82.9
193,Czechia,2022,F,Female,81.9
194,Czechia,2021,F,Female,80.5
195,Czechia,2020,F,Female,81.3
196,Denmark,2018,F,Female,82.9
197,Denmark,2017,F,Female,83.1
198,Denmark,2016,F,Female,82.8
199,Denmark,2019,M,Male,79.5
200,Denmark,2018,M,Male,79.1
201,Denmark,2017,M,Male,79.2
202,Denmark,2016,M,Male,79.0
203,Denmark,2015,M,Male,78.8
204,Denmark,2015,F,Female,82.7
205,Denmark,2023,_T,Total,81.9
206,Denmark,2022,_T,Total,81.3
207,Denmark,2021,_T,Total,81.5
208,Denmark,2020,_T,Total,81.6
209,Denmark,2019,_T,Total,81.5
210,Denmark,2018,_T,Total,81.0
211,Denmark,2017,_T,Total,81.1
212,Denmark,2016,_T,Total,80.9
213,Denmark,2015,_T,Total,80.8
214,Denmark,2023,M,Male,80.0
215,Denmark,2022,M,Male,79.5
216,Denmark,2021,M,Male,79.6
217,Denmark,2020,M,Male,79.7
218,Denmark,2023,F,Female,83.8
219,Denmark,2022,F,Female,83.2
220,Denmark,2021,F,Female,83.3
221,Denmark,2020,F,Female,83.6
222,Estonia,2018,M,Male,74.0
223,Estonia,2017,M,Male,73.8
224,Estonia,2016,M,Male,73.3
225,Estonia,2019,_T,Total,79.0
226,Estonia,2018,_T,Total,78.5
227,Estonia,2017,_T,Total,78.4
228,Estonia,2016,_T,Total,78.0
229,Estonia,2015,_T,Total,78.0
230,Estonia,2015,M,Male,73.2
231,Estonia,2023,F,Female,83.1
232,Estonia,2022,F,Female,82.3
233,Estonia,2021,F,Female,81.4
234,Estonia,2020,F,Female,83.0
235,Estonia,2019,F,Female,83.0
236,Estonia,2018,F,Female,82.7
237,Estonia,2017,F,Female,82.6
238,Estonia,2016,F,Female,82.2
239,Estonia,2015,F,Female,82.2
240,Estonia,2023,_T,Total,78.8
241,Estonia,2022,_T,Total,78.1
242,Estonia,2021,_T,Total,77.2
243,Estonia,2020,_T,Total,78.9
244,Estonia,2023,M,Male,74.1
245,Estonia,2022,M,Male,73.6
246,Estonia,2021,M,Male,72.7
247,Estonia,2020,M,Male,74.4
248,Finland,2018,M,Male,79.1
249,Finland,2017,M,Male,78.9
250,Finland,2016,M,Male,78.6
251,Finland,2019,F,Female,84.8
252,Finland,2018,F,Female,84.5
253,Finland,2017,F,Female,84.5
254,Finland,2016,F,Female,84.4
255,Finland,2015,F,Female,84.4
256,Finland,2015,M,Male,78.7
257,Finland,2023,_T,Total,81.7
258,Finland,2022,_T,Total,81.2
259,Finland,2021,_T,Total,81.9
260,Finland,2020,_T,Total,82.0
261,Finland,2019,_T,Total,82.1
262,Finland,2018,_T,Total,81.8
263,Finland,2017,_T,Total,81.7
