"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.65402710842858","5.81323062317507","5.44229903174101","6.02368153670294","6.1093198259879","5.95519810609397","5.97289194008616","5.99483832571677","5.88653784608628","6.4068224250504","6.44395380832936","6.35389234919335","6.16748829903162","6.16120749963624","5.8208276912968","5.97135239110406","6.06776962394236","5.92898867843192","5.78917723485759","5.81262387198749","6.03579178424951","6.04392490219959","5.72812260424465","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339085","8.94125843","9.80847359","9.94828892","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190777","7.89716864","8.80596447","9.52887821","10.10534763","11.81859016","12.62081718","14.20841885","14.83131981","15.53361416","21.508461","23.0881691","","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.46285171732198","3.48686742486677","3.1404018670836","4.4376400480581","4.27331905934784","4.13004362309865","4.05200567776432","3.83937472631831","3.64981594652692","3.76930283593664","3.52929393937151","3.5082010086331","3.48257860115421","3.6127849297166","3.63937504188706","3.87058583995411","3.83517669339272","3.74448455114457","3.30282979875446","3.32678914372802","3.89147693731176","4.15497345946362","4.21020587351535","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90859938","4.48351622","3.32946134","3.54797316","3.96719909","2.85219526","2.68553543","2.97439122","3.32290339","3.84260798","2.69509959","2.64560771","2.39574957","2.73282695","2.43412876","2.60579467","2.71314979","2.79383755","2.59482241","2.47518778","3.27488494","3.09277129","2.92737579","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94419765","5.92584515","5.66464472","5.91140795","5.89364862","5.72954512","5.63177013","5.92609119","5.50900269","5.82603931","6.23667669","6.18297672","6.15746212","6.28286266","6.43451118","6.46411896","6.7293272","6.57848787","6.66844559","6.86214113","7.50389433","7.39913177","6.19368076","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95276403","5.85823727","5.99621153","5.54771519","5.28846931","5.59476948","4.96530008","4.92347288","5.67066383","6.08094168","7.67537737","7.62060833","6.71083689","6.79964209","6.77308035","6.91586447","6.90521765","7.07142639","7.37541723","7.323246","8.78673935","8.33450699","7.53678846","7.92821121","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94299194575978","4.22335397555301","4.20209257708773","3.99715165619016","3.73218751833482","3.44760176682829","3.42930672507251","3.53789540027493","3.37084065989711","4.29785813191188","3.89077745600679","3.80490641870221","3.90396211077949","4.16267610091353","4.48412535103618","4.97222059304127","5.25069650348909","5.12112253677035","4.84275014909436","4.95362457579248","5.69990853088603","5.25598432758787","4.44342494235972","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.39504457","2.48436403","2.71770859","2.64634395","2.46225643","2.3202107","2.3254137","2.56602693","2.92857623","4.05000162","3.74433136","3.56666398","3.33596373","3.50222182","3.53405499","3.46609354","3.89580107","4.00854969","4.09854221","4.40291262","5.82477045","5.30494308","4.67550945","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.22001076","8.37179852","7.3933115","6.89451647","7.22868252","7.61078882","7.64032793","7.83455086","8.1826973","9.45599556","9.44546413","9.41819859","9.82726669","9.78097916","9.67129993","10.22933674","9.85558891","10.23174763","10.29146862","10.1555109","10.45030594","10.03832245","9.86305332","","",
"Armenia","ARM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19581175","4.64563894","7.61358786","7.17936182","6.05510139","5.8618803","5.85007095","5.49814034","6.63976622","8.44377708","9.23538303","9.37588882","9.13455009","10.32345009","10.17827892","10.11762714","9.95194912","10.36270332","10.00543404","11.3798008","12.24056244","12.32268524","9.96212864","","",
"American Samoa","ASM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.71542597","5.43839121","5.28793621","5.58143282","5.11667967","4.99094057","4.63050652","4.44609547","4.20027018","4.17732763","5.37907028","5.44257212","5.47921467","5.50909233","5.87269926","5.27965546","5.12190151","4.87493944","4.85204983","4.40662289","5.72944784","4.99196768","5.7299943","","",
"Australia","AUS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.58869076","7.67391729","7.87221003","7.87659502","8.08257675","7.9648633","7.97161102","8.0517149","8.24737453","8.54235363","8.41878414","8.53360462","8.66922569","8.74458122","9.82490253","10.17367649","10.08972931","10.11242294","10.05163097","10.21285057","10.66040134","10.42525291","9.92687893","","",
"Austria","AUT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.20371342","9.26942921","9.3947649","9.5472393","9.70939922","9.62702942","9.5311327","9.53209686","9.72564602","10.22582531","10.22101879","10.02613258","10.19915581","10.28574848","10.36809158","10.36746693","10.3522625","10.38402557","10.34885597","10.48753643","11.31641102","12.15228558","11.15729332","10.87779903","",
"Azerbaijan","AZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.89007497","2.774194","2.73097301","2.72699213","2.65944242","2.22960997","2.07059145","1.99422264","2.04814458","2.76541352","2.64634848","2.59547186","3.15682149","3.22551084","3.58703041","4.34131384","4.42241955","4.07396507","3.83661342","4.18188763","5.84817696","4.68526697","3.97840643","","",
"Burundi","BDI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22181606","5.68180418","5.34983587","5.27245188","7.09572744","7.56016588","8.71264839","9.1855402","7.74147511","9.23238468","11.28196716","10.06996346","8.63756466","8.62834644","7.21081543","6.29022646","7.06148243","6.95275736","7.29396152","9.05010796","10.71837234","8.99484253","8.39522648","","",
